fire_id,observation_year,summer_temp_c,summer_precip_mm,summer_vpd_kpa,temp_anomaly_c,precip_anomaly_mm,vpd_anomaly_kpa
1986 7115,1994,14.427609812842945,5384.090379574979,0.46875549769739744,-1.043908358984374,1415.8692992107976,-0.10465707970540494
1988 7169,1994,14.825598185534647,5007.666998750583,0.4721591171187799,-0.9851853120346351,930.1075821925975,-0.11590635568617073
1992 7079,1994,14.772103511381431,4807.344656429004,0.46695174141290524,-1.0890987578570708,1266.1087719706452,-0.12727870938960484
19951080515,1994,14.628404505356514,5376.321598370819,0.47265409561291344,-1.0241115394997777,1331.448849395199,-0.11262279058551489
19951080996,1994,15.222314170051371,4677.633871046551,0.4838908163100432,-0.86326751466594,882.7938685956577,-0.12420114997635759
1986 7115,1995,16.61978505244302,3382.578981382806,0.6917830122486901,1.1482668806157006,-585.6420989813757,0.1183704348458878
1988 7169,1995,17.0327861260677,3432.977875696359,0.7271807851646079,1.2220026284984191,-644.5815408616255,0.13911531235965732
1992 7079,1995,17.138133408869393,3227.1761498807537,0.7292730117791573,1.2769311396308927,-314.0597345776053,0.13504256097664713
19951080515,1995,16.80616612918135,3601.586698452703,0.7094463461760023,1.153650084325058,-443.28605052291687,0.12416945997757411
19951080996,1995,17.43317536790659,2545.54807225302,0.7737648850119122,1.3475936831892816,-1249.2919301978727,0.1656729187255113
1986 7115,1996,15.725779357871946,4580.988137832175,0.5944094208370473,0.2542611860446271,612.7670574679944,0.02099684343424494
1988 7169,1996,16.03697411848921,4899.96110678847,0.6044683252418632,0.22619062091992742,822.4016902304851,0.01640285243691254
1992 7079,1996,16.014482118374556,3823.1468529786553,0.5833552052974581,0.15327984913605291,281.9109685202962,-0.010875245505052013
19951080515,1996,15.893069535407506,4914.358427229544,0.6038261369693422,0.2405534905512141,869.4856782539241,0.01854925077091396
19951080996,1996,16.270075753490737,4415.602813603711,0.6104095954249706,0.18449406877342653,620.7628111528177,0.0023176291385697337
1986 7115,1997,14.982164041080438,3551.077060277747,0.5595498683451744,-0.4893541307468808,-417.144020086434,-0.013862709057627992
1988 7169,1997,15.225481956438975,3524.310734102779,0.559033969034894,-0.5853015411303075,-553.2486824552059,-0.02903150377005666
1992 7079,1997,15.423459622521763,3663.8953142004652,0.5553751053677822,-0.4377426467167369,122.6594297421058,-0.0388553454347279
19951080515,1997,15.120491855731927,3461.2990210872426,0.5630278762175396,-0.532024189124364,-583.5737278883771,-0.022249009980888745
19951080996,1997,15.539656823309956,3666.598973929017,0.5744280874407851,-0.5459248614073555,-128.24102852187607,-0.03366387884561586
1986 7115,1998,15.80120787650409,3952.031638218406,0.5752332375581001,0.32968970467676845,-16.189442145775118,0.0018206601552977883
1988 7169,1998,15.959285644095132,3438.6557162348427,0.5762154047913726,0.1485021465258508,-638.9037003231422,-0.01185006801357813
1992 7079,1998,16.14955410800277,3126.4629060387892,0.5932800715853805,0.2883518387642695,-414.7729784195699,-0.0009503792171295579
19951080515,1998,15.908285512785994,3885.541438510252,0.5820811901564807,0.2557694679297029,-159.33131046536755,-0.003195696041947582
19951080996,1998,16.179258611482602,3198.2601555748606,0.5966750354383477,0.09367692676529497,-596.5798468760325,-0.011416930848053258
1986 7115,1999,15.949347314887497,4679.75972042271,0.570388216425826,0.47782914306017926,711.5386400585295,-0.0030243609769762124
1988 7169,1999,16.313920776010907,5307.274832058667,0.5865071148466959,0.5031372784416263,1229.7154155006822,-0.0015583579582547514
1992 7079,1999,16.499384157669173,4311.900519744772,0.5972512261738732,0.6381818884306717,770.6646352864132,0.003020775371363131
19951080515,1999,16.13714949842813,4818.857954483448,0.5800412168778583,0.4846334535718384,773.9852055078286,-0.005235669320570069
19951080996,1999,16.727201530495698,4488.906291246867,0.6206191793838424,0.6416198457783902,694.0662887959735,0.012527213097441545
1986 7115,2000,14.000506318344295,3316.152226172858,0.5035864883077633,-1.4710118534830259,-652.0688541913235,-0.06982608909503901
1988 7169,2000,14.312391671351211,3260.050678308281,0.5013436407724369,-1.4983918262180709,-817.5087382497036,-0.0867218320325137
1992 7079,2000,14.265306720599652,2890.79626340831,0.5041818264403386,-1.59589554863885,-650.4396210500488,-0.09004862436217156
19951080515,2000,14.145663674672448,3258.804639690922,0.5027972937995742,-1.506852370183843,-786.0681092846976,-0.08247959239885405
