fire_id,fire_year,observation_year,years_since_fire,area_ha,centroid_lat,centroid_lon,NBR,NDVI,NBR_pre,NDVI_pre,dNBR
19961080302,1996,1999,3,1088.0,48.84667981558052,-76.65210441308228,0.23617125898402191,0.08970579760325945,0.568424344165906,0.5976397358396629,0.32777541034962177
19961080302,1996,2000,4,1088.0,48.84667981558052,-76.65210441308228,0.37699507321713405,-0.33012042738428743,0.568424344165906,0.5976397358396629,0.32777541034962177
19961080302,1996,2001,5,1088.0,48.84667981558052,-76.65210441308228,0.2559684261299667,0.6034190054668217,0.568424344165906,0.5976397358396629,0.32777541034962177
19961080302,1996,2002,6,1088.0,48.84667981558052,-76.65210441308228,0.34972281896306745,0.6153439325701308,0.568424344165906,0.5976397358396629,0.32777541034962177
19961080302,1996,2003,7,1088.0,48.84667981558052,-76.65210441308228,0.36133145478493106,0.533176624657769,0.568424344165906,0.5976397358396629,0.32777541034962177
19961080302,1996,2004,8,1088.0,48.84667981558052,-76.65210441308228,0.36927608899139464,0.5525635381337425,0.568424344165906,0.5976397358396629,0.32777541034962177
19961080302,1996,2005,9,1088.0,48.84667981558052,-76.65210441308228,0.42757316507196325,0.5798736569334635,0.568424344165906,0.5976397358396629,0.32777541034962177
19961080302,1996,2006,10,1088.0,48.84667981558052,-76.65210441308228,0.38488493777261207,0.513708438347248,0.568424344165906,0.5976397358396629,0.32777541034962177
19961080302,1996,2007,11,1088.0,48.84667981558052,-76.65210441308228,0.4239155439203681,0.5800014454157018,0.568424344165906,0.5976397358396629,0.32777541034962177
19961080302,1996,2008,12,1088.0,48.84667981558052,-76.65210441308228,0.4434317966620006,0.48808647377345543,0.568424344165906,0.5976397358396629,0.32777541034962177
19961080302,1996,2009,13,1088.0,48.84667981558052,-76.65210441308228,0.384651254547919,0.21463418703636286,0.568424344165906,0.5976397358396629,0.32777541034962177
19961080302,1996,2010,14,1088.0,48.84667981558052,-76.65210441308228,0.44730600308360663,0.4079515664040292,0.568424344165906,0.5976397358396629,0.32777541034962177
19961080302,1996,2011,15,1088.0,48.84667981558052,-76.65210441308228,0.4628970905560964,0.2988976016318003,0.568424344165906,0.5976397358396629,0.32777541034962177
19961080302,1996,2012,16,1088.0,48.84667981558052,-76.65210441308228,0.38462101897274764,-0.1839214716020387,0.568424344165906,0.5976397358396629,0.32777541034962177
19961080302,1996,2013,17,1088.0,48.84667981558052,-76.65210441308228,0.5018165590536238,0.7089829840118118,0.568424344165906,0.5976397358396629,0.32777541034962177
19961080302,1996,2014,18,1088.0,48.84667981558052,-76.65210441308228,0.517583798245884,0.5332943576032593,0.568424344165906,0.5976397358396629,0.32777541034962177
19961080302,1996,2015,19,1088.0,48.84667981558052,-76.65210441308228,0.4785789289326502,0.6231034583272693,0.568424344165906,0.5976397358396629,0.32777541034962177
19961080302,1996,2016,20,1088.0,48.84667981558052,-76.65210441308228,0.5370414215956287,0.6697313565106758,0.568424344165906,0.5976397358396629,0.32777541034962177
19961080399,1996,1993,-3,881.0,50.00459098335045,-76.44000113717601,0.486239817495294,0.5527869428728514,0.486239817495294,0.5527869428728514,0.29666802713696316
19961080399,1996,1994,-2,881.0,50.00459098335045,-76.44000113717601,0.4823340103445268,0.5176483700741685,0.486239817495294,0.5527869428728514,0.29666802713696316
19961080399,1996,1995,-1,881.0,50.00459098335045,-76.44000113717601,0.5448854005324871,0.6661236911935909,0.486239817495294,0.5527869428728514,0.29666802713696316
19961080399,1996,1996,0,881.0,50.00459098335045,-76.44000113717601,0.18957179035833086,0.15401890235482144,0.486239817495294,0.5527869428728514,0.29666802713696316
19961080399,1996,1997,1,881.0,50.00459098335045,-76.44000113717601,0.3064385144119505,0.08491420909939616,0.486239817495294,0.5527869428728514,0.29666802713696316
19961080399,1996,1998,2,881.0,50.00459098335045,-76.44000113717601,0.0720650500077406,0.42781194203306055,0.486239817495294,0.5527869428728514,0.29666802713696316
